hash,AMSAT,AMSAT_RGC,BreakID-Kissat,CaDiCaL,Cadical_ESA,IsaSAT,Kissat_MAB-DC,Kissat_MAB_Binary,Kissat_MAB_ESA,hCaD-bva,hCaD-pbva,hKis-bva,hKis-pbva,kissat-sc2024,vresult,nb_vars,nb_clauses,family,track,avg_time
25cc054738293c0d9377d7b72b78a341,4292.69,3848.82,10000.0,1412.36,2397.66,10000.0,1748.7,2196.93,2202.2,1625.41,2184.03,2813.04,2304.07,10000.0,unsat,,,software-verification,anni_2022 | main_2021 | main_2024,3534.945
26254890fa7107f85242ec9190da2a7a,2524.9,2547.97,672.862,10000.0,10000.0,10000.0,204.508,1792.26,403.639,10000.0,10000.0,335.461,10000.0,235.813,sat,,,cryptography,anni_2022 | application_2013 | main_2024,5724.698
26b648475cfd06695a17ac95f4469744,923.78,994.82,1764.26,307.77,319.167,93.0993,1801.99,1350.71,1350.22,606.019,468.547,483.679,4225.8,315.416,sat,,,miter,main_2024 | submissions_2024,1029.311
278aa933fdef642f33fb02a2b18717c1,1820.17,1807.01,2089.4,1017.11,1394.82,10000.0,1147.49,1111.52,1510.72,1081.01,1455.31,1933.85,1837.96,928.299,unsat,,,miter,main_2024 | submissions_2024,2128.917
282a02a1743eb47c6b340e52ecce40a2,220.315,209.448,588.086,71.8636,68.3282,60.2131,39.8337,37.8345,37.4097,375.139,376.451,355.405,361.86,51.112,sat,,,miter,main_2024 | submissions_2024,166.859
29ab150158d641568f888e8401d2ac13,327.941,334.178,10000.0,643.959,791.664,10000.0,759.933,730.172,1379.38,919.876,973.005,901.159,4102.66,715.998,unsat,,,hardware-model-checking,main_2024 | submissions_2022,1992.528
29d86d9a3b85c349e10ad68d7a713da2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,independent-set,main_2024 | submissions_2024,10000.000
29e61b1317804fb897e84237613d42bb,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,scheduling,main_2024 | submissions_2022,10000.000
2a15a30186afdad41a49c5c5366d01be,87.1717,145.026,39.1648,56.4291,51.7149,570.216,283.868,171.812,224.269,72.0502,239.751,115.404,10000.0,44.8449,sat,,,scheduling,anni_2022 | main_2020 | main_2024,1075.487
2a53e9c6a25a50d753a94ead66065826,94.6555,88.5737,72.9517,62.3055,62.2293,228.929,115.157,112.483,112.444,57.447,67.8496,75.0379,149.219,63.76,unsat,,,popularity-similarity,anni_2022 | main_2017 | main_2024,100.624
2b032f8a8976a302ad125eb50a3e8445,350.829,346.299,179.124,639.557,259.965,281.259,1224.75,767.059,1284.2,953.475,835.413,197.447,460.882,857.112,sat,,,independent-set,main_2024 | submissions_2024,705.556
